converged SCF energy = -154.536817323866  <S^2> = 2.4553231e-09  2S+1 = 1
 ** Mulliken Spin Density (per AO)  **
spin_pop of  0 C 1s       -0.00000
spin_pop of  0 C 2s        0.00000
spin_pop of  0 C 3s        0.00000
spin_pop of  0 C 4s        0.00000
spin_pop of  0 C 5s        0.00000
spin_pop of  0 C 2px       0.00000
spin_pop of  0 C 2py       0.00000
spin_pop of  0 C 2pz       0.00000
spin_pop of  0 C 3px       0.00000
spin_pop of  0 C 3py       0.00001
spin_pop of  0 C 3pz       0.00000
spin_pop of  0 C 4px       0.00000
spin_pop of  0 C 4py       0.00001
spin_pop of  0 C 4pz       0.00000
spin_pop of  0 C 5px       0.00000
spin_pop of  0 C 5py       0.00001
spin_pop of  0 C 5pz       0.00000
spin_pop of  0 C 3dxy     -0.00000
spin_pop of  0 C 3dyz     -0.00000
spin_pop of  0 C 3dz^2    -0.00000
spin_pop of  0 C 3dxz     -0.00000
spin_pop of  0 C 3dx2-y2   -0.00000
spin_pop of  0 C 4dxy     -0.00000
spin_pop of  0 C 4dyz     -0.00000
spin_pop of  0 C 4dz^2    -0.00000
spin_pop of  0 C 4dxz     -0.00000
spin_pop of  0 C 4dx2-y2   -0.00000
spin_pop of  0 C 5dxy     -0.00000
spin_pop of  0 C 5dyz     -0.00000
spin_pop of  0 C 5dz^2     0.00000
spin_pop of  0 C 5dxz      0.00000
spin_pop of  0 C 5dx2-y2    0.00000
spin_pop of  0 C 4f-3     -0.00000
spin_pop of  0 C 4f-2     -0.00000
spin_pop of  0 C 4f-1     -0.00000
spin_pop of  0 C 4f+0     -0.00000
spin_pop of  0 C 4f+1     -0.00000
spin_pop of  0 C 4f+2     -0.00000
spin_pop of  0 C 4f+3     -0.00000
spin_pop of  0 C 5f-3     -0.00000
spin_pop of  0 C 5f-2      0.00000
spin_pop of  0 C 5f-1     -0.00000
spin_pop of  0 C 5f+0     -0.00000
spin_pop of  0 C 5f+1     -0.00000
spin_pop of  0 C 5f+2     -0.00000
spin_pop of  0 C 5f+3     -0.00000
spin_pop of  0 C 5g-4     -0.00000
spin_pop of  0 C 5g-3     -0.00000
spin_pop of  0 C 5g-2     -0.00000
spin_pop of  0 C 5g-1     -0.00000
spin_pop of  0 C 5g+0     -0.00000
spin_pop of  0 C 5g+1     -0.00000
spin_pop of  0 C 5g+2     -0.00000
spin_pop of  0 C 5g+3     -0.00000
spin_pop of  0 C 5g+4      0.00000
spin_pop of  1 C 1s        0.00000
spin_pop of  1 C 2s       -0.00000
spin_pop of  1 C 3s       -0.00000
spin_pop of  1 C 4s       -0.00000
spin_pop of  1 C 5s       -0.00000
spin_pop of  1 C 2px      -0.00000
spin_pop of  1 C 2py      -0.00000
spin_pop of  1 C 2pz      -0.00000
spin_pop of  1 C 3px      -0.00000
spin_pop of  1 C 3py      -0.00001
spin_pop of  1 C 3pz      -0.00000
spin_pop of  1 C 4px      -0.00000
spin_pop of  1 C 4py      -0.00001
spin_pop of  1 C 4pz      -0.00000
spin_pop of  1 C 5px      -0.00000
spin_pop of  1 C 5py      -0.00001
spin_pop of  1 C 5pz      -0.00000
spin_pop of  1 C 3dxy      0.00000
spin_pop of  1 C 3dyz      0.00000
spin_pop of  1 C 3dz^2     0.00000
spin_pop of  1 C 3dxz      0.00000
spin_pop of  1 C 3dx2-y2    0.00000
spin_pop of  1 C 4dxy      0.00000
spin_pop of  1 C 4dyz      0.00000
spin_pop of  1 C 4dz^2     0.00000
spin_pop of  1 C 4dxz      0.00000
spin_pop of  1 C 4dx2-y2    0.00000
spin_pop of  1 C 5dxy      0.00000
spin_pop of  1 C 5dyz      0.00000
spin_pop of  1 C 5dz^2    -0.00000
